rank,lookback_long,lookback_short,skip_most_recent,top_n_pct,rebalance_frequency,total_return_pct,ann_return_pct,ann_vol_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,n_trades,run_time_s
0,126,15,10,0.2,42,198.78,6.27,209.58,0.802,-0.002,-67.41,0.093,44.2,1.685,803,87.36
1,126,21,21,0.2,10,84.34,3.45,122.01,0.204,-0.107,-84.58,0.041,51.0,2.311,351,181.76
2,189,10,21,0.2,10,70.32,3.0,110.91,0.185,-0.131,-84.63,0.035,46.7,1.919,345,180.06
3,189,15,21,0.2,10,70.32,3.0,110.91,0.185,-0.131,-84.63,0.035,46.7,1.919,345,180.97
4,189,10,0,0.15,10,53.89,2.42,110.38,0.166,-0.169,-84.22,0.029,43.8,1.927,276,181.49
5,189,21,0,0.15,10,53.89,2.42,110.38,0.166,-0.169,-84.22,0.029,43.8,1.927,276,182.55
6,189,10,21,0.15,21,54.15,2.43,110.25,0.166,-0.17,-84.89,0.029,50.0,2.23,208,313.47
7,189,10,0,0.15,21,45.88,2.12,109.93,0.161,-0.185,-84.86,0.025,45.8,2.015,212,112.85
8,189,15,0,0.15,42,25.25,1.26,110.36,0.157,-0.216,-84.86,0.015,42.6,1.736,162,81.62
9,189,21,0,0.15,42,25.25,1.26,110.36,0.157,-0.216,-84.86,0.015,42.6,1.736,162,81.25
10,189,15,21,0.1,10,46.17,2.13,106.79,0.157,-0.19,-82.24,0.026,52.1,2.088,194,190.52
11,189,10,21,0.1,21,31.72,1.54,117.59,0.156,-0.219,-84.44,0.018,47.4,1.959,152,111.85
12,189,15,0,0.1,21,30.45,1.49,117.61,0.155,-0.225,-85.1,0.017,43.9,1.864,155,112.26
13,252,21,0,0.1,10,36.76,1.75,106.71,0.155,-0.202,-81.5,0.022,50.0,2.024,168,181.71
14,189,21,21,0.1,42,24.89,1.24,117.03,0.15,-0.247,-83.02,0.015,48.6,2.048,111,81.06
15,252,15,21,0.1,21,26.8,1.33,109.18,0.149,-0.232,-82.66,0.016,47.5,1.946,139,110.99
16,252,21,21,0.1,42,11.63,0.61,109.26,0.141,-0.27,-82.68,0.007,43.2,1.575,95,80.02
17,189,15,10,0.15,42,55.72,2.49,19.59,-0.114,-0.326,-37.94,0.066,52.1,2.903,146,81.49
18,189,21,10,0.15,42,55.72,2.49,19.59,-0.114,-0.326,-37.94,0.066,52.1,2.903,146,81.66
19,252,15,10,0.1,21,67.68,2.91,17.69,-0.119,-0.304,-24.79,0.117,65.5,4.199,116,112.29
20,126,15,10,0.2,10,55.1,2.47,10.21,-0.348,-0.596,-19.18,0.129,47.4,2.457,209,185.69
21,189,15,10,0.1,42,30.16,1.47,12.32,-0.348,-0.606,-25.48,0.058,51.1,2.601,92,81.54
22,126,15,0,0.15,10,56.78,2.53,9.46,-0.376,-0.632,-19.49,0.13,49.4,2.738,176,182.81
23,126,21,10,0.15,10,43.05,2.01,9.65,-0.42,-0.71,-19.47,0.103,45.5,2.288,176,181.72
24,126,10,10,0.15,10,43.05,2.01,9.65,-0.42,-0.71,-19.47,0.103,45.5,2.288,176,181.79
25,252,15,21,0.2,10,35.2,1.69,10.17,-0.424,-0.701,-19.98,0.085,49.2,1.842,177,182.6
