,equity
2002-11-26 00:00:00+00:00,9991245.16162999
2002-11-27 00:00:00+00:00,9982993.0629092
2002-11-28 00:00:00+00:00,10009970.51015456
2002-11-29 00:00:00+00:00,10069291.218530014
2002-12-02 00:00:00+00:00,10107733.557857111
2002-12-03 00:00:00+00:00,10043813.124069449
2002-12-04 00:00:00+00:00,10020887.82380819
2002-12-05 00:00:00+00:00,10037187.279665705
2002-12-06 00:00:00+00:00,10096408.9850409
2002-12-09 00:00:00+00:00,10053383.459390875
2002-12-10 00:00:00+00:00,10054378.666810509
2002-12-11 00:00:00+00:00,10043391.202757116
2002-12-12 00:00:00+00:00,10041094.034077879
2002-12-13 00:00:00+00:00,10078215.204494473
2002-12-16 00:00:00+00:00,10079696.344108101
2002-12-17 00:00:00+00:00,10062701.749917265
2002-12-18 00:00:00+00:00,10083449.77522349
2002-12-19 00:00:00+00:00,10082385.922542091
2002-12-20 00:00:00+00:00,10113154.408814903
2002-12-23 00:00:00+00:00,10127370.546882125
2002-12-24 00:00:00+00:00,10118512.290141555
2002-12-25 00:00:00+00:00,10118019.081821654
2002-12-26 00:00:00+00:00,10113444.73738012
2002-12-27 00:00:00+00:00,10130075.312702153
2002-12-30 00:00:00+00:00,10127605.421786044
2002-12-31 00:00:00+00:00,10145821.845562313
2003-01-01 00:00:00+00:00,10125986.928180788
2003-01-02 00:00:00+00:00,10141205.697968695
2003-01-03 00:00:00+00:00,10154511.911734167
2003-01-06 00:00:00+00:00,10127243.562430922
2003-01-07 00:00:00+00:00,10136817.256061913
2003-01-08 00:00:00+00:00,10140526.730064752
2003-01-09 00:00:00+00:00,10170631.738547208
2003-01-10 00:00:00+00:00,10160256.747946622
2003-01-13 00:00:00+00:00,10167939.496999623
2003-01-14 00:00:00+00:00,10183465.578409147
2003-01-15 00:00:00+00:00,10168628.772521924
2003-01-16 00:00:00+00:00,10166348.562359761
2003-01-17 00:00:00+00:00,10164353.463148069
2003-01-20 00:00:00+00:00,10155967.883408498
2003-01-21 00:00:00+00:00,10171528.054935407
2003-01-22 00:00:00+00:00,10170078.394108724
2003-01-23 00:00:00+00:00,10122379.406145208
2003-01-24 00:00:00+00:00,10046204.564843528
2003-01-27 00:00:00+00:00,9972510.873423545
